Gm#,Date,Tm,Home/Road,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Season,Time_minutes
1,"Thursday, Mar 30",HOU,vs,CHW,L,2,3,9.0,0-1,4,1.0,Graveman,Pressly,López,2:38,N,43032,.92,-,2023,158
2,"Friday, Mar 31",HOU,vs,CHW,W,6,3,9.0,1-1,3,0.5,Martinez,Graveman,Montero,2:40,N,41453,.92,+,2023,160
3,"Saturday, Apr 1",HOU,vs,CHW,W,6,4,9.0,2-1,2,0.5,Stanek,Kelly,Neris,3:11,D,37519,.93,++,2023,191
4,"Sunday, Apr 2",HOU,vs,CHW,L,3,6,9.0,2-2,3,1.5,Clevinger,Garcia,,3:06,D,42835,1.00,-,2023,186
5,"Monday, Apr 3",HOU,vs,DET,L,6,7,11.0,2-3,3,1.5,Wingenter,Neris,Hill,3:21,N,29272,.93,--,2023,201
6,"Tuesday, Apr 4",HOU,vs,DET,L,3,6,9.0,2-4,4,1.5,Manning,Valdez,,2:32,N,30613,.87,---,2023,152
7,"Wednesday, Apr 5",HOU,vs,DET,W,8,2,9.0,3-4,3,1.5,Javier,Rodriguez,,2:35,D,37932,.84,+,2023,155
8,"Friday, Apr 7",HOU,@,MIN,L*,2,3,10.0,3-5,3,1.5,López,Stanek,,2:47,D,38465,.89,-,2023,167
9,"Saturday, Apr 8",HOU,@,MIN,L,6,9,9.0,3-6,4,2.5,Ryan,Martinez,Duran,2:27,D,26330,.87,--,2023,147
10,"Sunday, Apr 9",HOU,@,MIN,W,5,1,9.0,4-6,3,1.5,Brown,Mahle,,2:33,D,14316,.80,+,2023,153
11,"Monday, Apr 10",HOU,@,PIT,W,8,2,9.0,5-6,3,1.5,Valdez,Contreras,,2:39,N,10222,.82,++,2023,159
12,"Tuesday, Apr 11",HOU,@,PIT,L*,4,7,9.0,5-7,3,2.5,Bednar,Pressly,,2:30,N,9996,.87,-,2023,150
13,"Wednesday, Apr 12",HOU,@,PIT,W,7,0,9.0,6-7,3,1.5,Urquidy,Hill,,2:51,D,10064,.83,+,2023,171
14,"Friday, Apr 14",HOU,vs,TEX,L,2,6,9.0,6-8,3,2.5,Pérez,Garcia,,2:46,N,39343,.98,-,2023,166
15,"Saturday, Apr 15",HOU,vs,TEX,W,8,2,9.0,7-8,3,1.5,Brown,Ragans,,2:35,N,39257,.96,+,2023,155
16,"Sunday, Apr 16",HOU,vs,TEX,L,1,9,9.0,7-9,4,2.5,Burke,Valdez,,2:59,N,39122,.98,-,2023,179
17,"Monday, Apr 17",HOU,vs,TOR,W,9,2,9.0,8-9,3,2.5,Javier,Gausman,,2:45,N,30873,.85,+,2023,165
18,"Tuesday, Apr 18",HOU,vs,TOR,L,2,4,9.0,8-10,3,3.5,Bassitt,Urquidy,Romano,2:47,N,32602,.92,-,2023,167
